"DXDTOPF.Code.or.Value","DXDTOPF.Value.Description","DXDTOPF.Count","DXDTOPF.Cumulative","DXDTOPF.Skip.to.Item"
"11.7 to 54.7","Range of Values",4598,4598,NA
".","Missing",1182,5780,NA
