"WTSHM2YR.Code.or.Value","WTSHM2YR.Value.Description","WTSHM2YR.Count","WTSHM2YR.Cumulative","WTSHM2YR.Skip.to.Item"
"0 to 671114.86074","Range of Values",2804,2804,NA
".","Missing",0,2804,NA
