"WTSOG2YR.Code.or.Value","WTSOG2YR.Value.Description","WTSOG2YR.Count","WTSOG2YR.Cumulative","WTSOG2YR.Skip.to.Item"
"0 to 565085.973","Range of Values",2815,2815,NA
".","Missing",0,2815,NA
