"PAD590.Code.or.Value","PAD590.Value.Description","PAD590.Count","PAD590.Cumulative","PAD590.Skip.to.Item"
"0","Less than 1 hour",239,239,NA
"1","1 hour",462,701,NA
"2","2 hours",529,1230,NA
"3","3 hours",315,1545,NA
"4","4 hours",163,1708,NA
"5","5 hours or more",193,1901,NA
"6","None",30,1931,NA
"77","Refused",0,1931,NA
"99","Don't know",1,1932,NA
".","Missing",7427,9359,NA
