"LBDPFHPL.Code.or.Value","LBDPFHPL.Value.Description","LBDPFHPL.Count","LBDPFHPL.Cumulative","LBDPFHPL.Skip.to.Item"
"0","At or above the detection limit",383,383,NA
"1","Below lower detection limit",1521,1904,NA
".","Missing",273,2177,NA
