"WBXP003.Code.or.Value","WBXP003.Value.Description","WBXP003.Count","WBXP003.Cumulative","WBXP003.Skip.to.Item"
"-167.8819 to 146.3112","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
