"WBXF018.Code.or.Value","WBXF018.Value.Description","WBXF018.Count","WBXF018.Cumulative","WBXF018.Skip.to.Item"
"594.6036 to 594.6036","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
