"RIDAGEMN.Code.or.Value","RIDAGEMN.Value.Description","RIDAGEMN.Count","RIDAGEMN.Cumulative","RIDAGEMN.Skip.to.Item"
"0 to 1019","Range of Values",10803,10803,NA
".","Missing",236,11039,NA
