"DRD350IQ.Code.or.Value","DRD350IQ.Value.Description","DRD350IQ.Count","DRD350IQ.Cumulative","DRD350IQ.Skip.to.Item"
"1 to 24","Range of Values",269,269,NA
".","Missing",9069,9338,NA
