"VIXKLD1.Code.or.Value","VIXKLD1.Value.Description","VIXKLD1.Count","VIXKLD1.Cumulative","VIXKLD1.Skip.to.Item"
"33.5 to 62","Range of Values",6346,6346,NA
"88","Could not obtain",54,6400,NA
".","Missing",358,6758,NA
