"DX2RLLE.Code.or.Value","DX2RLLE.Value.Description","DX2RLLE.Count","DX2RLLE.Cumulative","DX2RLLE.Skip.to.Item"
"3842.9 to 16096.8","Range of Values",466,466,NA
".","Missing",19,485,NA
