"LBXSAPSI.Code.or.Value","LBXSAPSI.Value.Description","LBXSAPSI.Count","LBXSAPSI.Cumulative","LBXSAPSI.Skip.to.Item"
"16 to 1378","Range of Values",6492,6492,NA
".","Missing",498,6990,NA
