"AUXU1K2L.Code.or.Value","AUXU1K2L.Value.Description","AUXU1K2L.Count","AUXU1K2L.Cumulative","AUXU1K2L.Skip.to.Item"
"-10 to 100","Range of Values",2184,2184,NA
"666","No response",1,2185,NA
"888","Could not obtain",16,2201,NA
".","Missing",167,2368,NA
