"LBDTRSI.Code.or.Value","LBDTRSI.Value.Description","LBDTRSI.Count","LBDTRSI.Cumulative","LBDTRSI.Skip.to.Item"
"0.203 to 30.957","Range of Values",3357,3357,NA
".","Missing",224,3581,NA
