"DRD370R.Code.or.Value","DRD370R.Value.Description","DRD370R.Count","DRD370R.Cumulative","DRD370R.Skip.to.Item"
"1","Yes",171,171,""
"2","No",4950,5121,"DRD370S"
".","Missing",4692,9813,""
