"DSQICAFF.Code.or.Value","DSQICAFF.Value.Description","DSQICAFF.Count","DSQICAFF.Cumulative","DSQICAFF.Skip.to.Item"
"66 to 510","Range of Values",11,11,NA
".","Missing",8389,8400,NA
