"DR2IPFAT.Code.or.Value","DR2IPFAT.Value.Description","DR2IPFAT.Count","DR2IPFAT.Cumulative","DR2IPFAT.Skip.to.Item"
"0 to 71.493","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
