"OHD23LAM.Code.or.Value","OHD23LAM.Value.Description","OHD23LAM.Count","OHD23LAM.Cumulative","OHD23LAM.Skip.to.Item"
"0 to 8","Range of Values",1672,1672,NA
"99","Calculation cannot be determined",149,1821,NA
".","Missing",4937,6758,NA
