"SSCMVOD.Code.or.Value","SSCMVOD.Value.Description","SSCMVOD.Count","SSCMVOD.Cumulative","SSCMVOD.Skip.to.Item"
"0.062 to 3.001","Range of Values",5244,5244,NA
".","Missing",0,5244,NA
