"LBXBSE.Code.or.Value","LBXBSE.Value.Description","LBXBSE.Count","LBXBSE.Cumulative","LBXBSE.Skip.to.Item"
"59.35 to 419.15","Range of Values",4987,4987,NA
".","Missing",828,5815,NA
