"OSD030ab.Code.or.Value","OSD030ab.Value.Description","OSD030ab.Count","OSD030ab.Cumulative","OSD030ab.Skip.to.Item"
"17 to 83","Range of Values",6,6,NA
"85","85 or older",0,6,NA
"77777","Refused",0,6,NA
"99999","Don't know",0,6,NA
".","Missing",5035,5041,NA
