"DR2TP226.Code.or.Value","DR2TP226.Value.Description","DR2TP226.Count","DR2TP226.Cumulative","DR2TP226.Skip.to.Item"
"0 to 4.942","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
