"LUAPNME.Code.or.Value","LUAPNME.Value.Description","LUAPNME.Count","LUAPNME.Cumulative","LUAPNME.Skip.to.Item"
"M","M",4478,4478,NA
"XL","XL",1508,5986,NA
"< blank >","Missing",415,6401,NA
