"LBX206LA.Code.or.Value","LBX206LA.Value.Description","LBX206LA.Count","LBX206LA.Cumulative","LBX206LA.Skip.to.Item"
"2.2 to 79.2","Range of Values",2208,2208,NA
".","Missing",339,2547,NA
