"VIDORFM.Code.or.Value","VIDORFM.Value.Description","VIDORFM.Count","VIDORFM.Cumulative","VIDORFM.Skip.to.Item"
"5 to 9","Range of Values",6322,6322,NA
".","Missing",668,6990,NA
