"OSD110c.Code.or.Value","OSD110c.Value.Description","OSD110c.Count","OSD110c.Cumulative","OSD110c.Skip.to.Item"
"20 to 76","Range of Values",21,21,NA
"80","80 or older",0,21,NA
"777","Refused",0,21,NA
"999","Don't know",0,21,NA
".","Missing",6197,6218,NA
