"RHQ576U.Code.or.Value","RHQ576U.Value.Description","RHQ576U.Count","RHQ576U.Cumulative","RHQ576U.Skip.to.Item"
"1","Months",12,12,NA
"2","Years",40,52,NA
"7","Refused",0,52,NA
"9","Don't know",0,52,NA
".","Missing",3246,3298,NA
