"DR1IP204.Code.or.Value","DR1IP204.Value.Description","DR1IP204.Count","DR1IP204.Cumulative","DR1IP204.Skip.to.Item"
"0 to 1.112","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
