"DS2TSFAT.Code.or.Value","DS2TSFAT.Value.Description","DS2TSFAT.Count","DS2TSFAT.Cumulative","DS2TSFAT.Skip.to.Item"
"0.1 to 4","Range of Values",216,216,NA
".","Missing",9546,9762,NA
