"BIXS128K.Code.or.Value","BIXS128K.Value.Description","BIXS128K.Count","BIXS128K.Cumulative","BIXS128K.Skip.to.Item"
"129.91 to 882.95","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
