"LBXTTG.Code.or.Value","LBXTTG.Value.Description","LBXTTG.Count","LBXTTG.Cumulative","LBXTTG.Skip.to.Item"
"1","Positive",28,28,NA
"2","Negative",6854,6882,NA
"3","Weakly positive",21,6903,NA
".","Missing",918,7821,NA
