"DR1TNIAC.Code.or.Value","DR1TNIAC.Value.Description","DR1TNIAC.Count","DR1TNIAC.Cumulative","DR1TNIAC.Skip.to.Item"
"0 to 197.416","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
