"URDEQULC.Code.or.Value","URDEQULC.Value.Description","URDEQULC.Count","URDEQULC.Cumulative","URDEQULC.Skip.to.Item"
"0","At or above the detection limit",2523,2523,NA
"1","Below lower detection limit",4,2527,NA
".","Missing",111,2638,NA
