"LBXVBZN.Code.or.Value","LBXVBZN.Value.Description","LBXVBZN.Count","LBXVBZN.Cumulative","LBXVBZN.Skip.to.Item"
"0.106 to 1.14","Range of Values",2866,2866,NA
".","Missing",306,3172,NA
