"DR2TP205.Code.or.Value","DR2TP205.Value.Description","DR2TP205.Count","DR2TP205.Cumulative","DR2TP205.Skip.to.Item"
"0 to 3.235","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
