"FSQ165.Code.or.Value","FSQ165.Value.Description","FSQ165.Count","FSQ165.Cumulative","FSQ165.Skip.to.Item"
"1","Yes",3747,3747,""
"2","No",6296,10043,"FSQ162"
"7","Refused",13,10056,"FSQ162"
"9","Don't know",3,10059,"FSQ162"
".","Missing",116,10175,""
