"AUXR6KL.Code.or.Value","AUXR6KL.Value.Description","AUXR6KL.Count","AUXR6KL.Cumulative","AUXR6KL.Skip.to.Item"
"40 to 100","Range of Values",17,17,NA
"666","No response",1,18,NA
"888","Could not obtain",0,18,NA
".","Missing",3016,3034,NA
