"DSDSUPP.Code.or.Value","DSDSUPP.Value.Description","DSDSUPP.Count","DSDSUPP.Cumulative","DSDSUPP.Skip.to.Item"
"Supplement Name","Value was recorded",8400,8400,NA
"< blank >","Missing",0,8400,NA
