"DR1ISFAT.Code.or.Value","DR1ISFAT.Value.Description","DR1ISFAT.Count","DR1ISFAT.Cumulative","DR1ISFAT.Skip.to.Item"
"0 to 107.047","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
