"MCQ260EA.Code.or.Value","MCQ260EA.Value.Description","MCQ260EA.Count","MCQ260EA.Cumulative","MCQ260EA.Skip.to.Item"
"1","Mother",233,233,"MCQ250F"
"77","Refused",0,233,"MCQ250F"
"99","Don't know",0,233,"MCQ250F"
".","Missing",9260,9493,""
