"RFXC013.Code.or.Value","RFXC013.Value.Description","RFXC013.Count","RFXC013.Cumulative","RFXC013.Skip.to.Item"
"-4.933 to 3.844","Range of Values",51073,51073,NA
".","Missing",3,51076,NA
