"URDUCSLC.Code.or.Value","URDUCSLC.Value.Description","URDUCSLC.Count","URDUCSLC.Cumulative","URDUCSLC.Skip.to.Item"
"0","At or above the detection limit",2271,2271,NA
"1","Below lower detection limit",0,2271,NA
".","Missing",78,2349,NA
