"AUDTYR09.Code.or.Value","AUDTYR09.Value.Description","AUDTYR09.Count","AUDTYR09.Cumulative","AUDTYR09.Skip.to.Item"
"0 to 1.69","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
