"DXXVFATV.Code.or.Value","DXXVFATV.Value.Description","DXXVFATV.Count","DXXVFATV.Cumulative","DXXVFATV.Skip.to.Item"
"0 to 1961.36","Range of Values",5095,5095,NA
".","Missing",685,5780,NA
