"DR2IACAR.Code.or.Value","DR2IACAR.Value.Description","DR2IACAR.Count","DR2IACAR.Cumulative","DR2IACAR.Skip.to.Item"
"0 to 21657","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
