"RIDAGEYR.Code.or.Value","RIDAGEYR.Value.Description","RIDAGEYR.Count","RIDAGEYR.Cumulative","RIDAGEYR.Skip.to.Item"
"0 to 84","Range of Values",10803,10803,NA
"85",">= 85 years of age",236,11039,NA
".","Missing",0,11039,NA
