"SSCA125L.Code.or.Value","SSCA125L.Value.Description","SSCA125L.Count","SSCA125L.Cumulative","SSCA125L.Skip.to.Item"
"1840 to 667635","Range of Values",2388,2388,NA
".","Missing",0,2388,NA
