"WTSAF2YR.Code.or.Value","WTSAF2YR.Value.Description","WTSAF2YR.Count","WTSAF2YR.Cumulative","WTSAF2YR.Skip.to.Item"
"0.000000000000 to 523301.611391426000","Range of Values",0,0,NA
"0","0",4464,4464,NA
".","Missing",0,4464,NA
