"CFDCST3.Code.or.Value","CFDCST3.Value.Description","CFDCST3.Count","CFDCST3.Cumulative","CFDCST3.Skip.to.Item"
"0 to 10","Range of Values",1458,1458,NA
".","Missing",229,1687,NA
