"LBXOL1.Code.or.Value","LBXOL1.Value.Description","LBXOL1.Count","LBXOL1.Cumulative","LBXOL1.Skip.to.Item"
"707 to 20900","Range of Values",4405,4405,NA
".","Missing",1238,5643,NA
