"CBD110.Code.or.Value","CBD110.Value.Description","CBD110.Count","CBD110.Cumulative","CBD110.Skip.to.Item"
"0 to 4285","Range of Values",10275,10275,NA
"777777","Refused",24,10299,NA
"999999","Don't know",128,10427,NA
".","Missing",110,10537,NA
