"LBDMFOSL.Code.or.Value","LBDMFOSL.Value.Description","LBDMFOSL.Count","LBDMFOSL.Cumulative","LBDMFOSL.Skip.to.Item"
"0","At or above the detection limit",1970,1970,NA
"1","Below lower detection limit",23,1993,NA
".","Missing",177,2170,NA
