"PUD073.Code.or.Value","PUD073.Value.Description","PUD073.Count","PUD073.Cumulative","PUD073.Skip.to.Item"
"1","Yes",482,482,""
"2","No",854,1336,"End of Section"
".","Missing",9703,11039,""
