"DR1TP205.Code.or.Value","DR1TP205.Value.Description","DR1TP205.Count","DR1TP205.Cumulative","DR1TP205.Skip.to.Item"
"0 to 2.085","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
