"TYXP173.Code.or.Value","TYXP173.Value.Description","TYXP173.Count","TYXP173.Cumulative","TYXP173.Skip.to.Item"
"-297 to -1","Range of Values",2844,2844,NA
".","Missing",5625,8469,NA
