"RFXC093.Code.or.Value","RFXC093.Value.Description","RFXC093.Count","RFXC093.Cumulative","RFXC093.Skip.to.Item"
"-6.135 to 4.52","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
