"DSQTVB12.Code.or.Value","DSQTVB12.Value.Description","DSQTVB12.Count","DSQTVB12.Cumulative","DSQTVB12.Skip.to.Item"
"0.07 to 10000","Range of Values",2657,2657,NA
".","Missing",7314,9971,NA
