"OPDUPPA.Code.or.Value","OPDUPPA.Value.Description","OPDUPPA.Count","OPDUPPA.Cumulative","OPDUPPA.Skip.to.Item"
"0","No",2215,2215,NA
"1","Questionable",71,2286,NA
"2","Yes",195,2481,NA
".","Missing",453,2934,NA
