"OSQ160a.Code.or.Value","OSQ160a.Value.Description","OSQ160a.Count","OSQ160a.Cumulative","OSQ160a.Skip.to.Item"
"1","Mother",383,383,NA
"7","Refused",0,383,NA
"9","Don't know",0,383,NA
".","Missing",4596,4979,NA
