"TBQ040.Code.or.Value","TBQ040.Value.Description","TBQ040.Count","TBQ040.Cumulative","TBQ040.Skip.to.Item"
"1","Yes",35,35,""
"2","No",9401,9436,"TBQ060"
"7","Refused",1,9437,"TBQ060"
"9","Don't know",51,9488,"TBQ060"
".","Missing",5,9493,""
