"DS1ISFAT.Code.or.Value","DS1ISFAT.Value.Description","DS1ISFAT.Count","DS1ISFAT.Cumulative","DS1ISFAT.Skip.to.Item"
"0.023 to 3","Range of Values",132,132,NA
".","Missing",5238,5370,NA
