"CIQP21M.Code.or.Value","CIQP21M.Value.Description","CIQP21M.Count","CIQP21M.Cumulative","CIQP21M.Skip.to.Item"
"13","Fear: Closed spaces",0,0,NA
".","Missing",928,928,NA
