"BMXRECUM.Code.or.Value","BMXRECUM.Value.Description","BMXRECUM.Count","BMXRECUM.Cumulative","BMXRECUM.Skip.to.Item"
"48.4 to 112.7","Range of Values",1352,1352,NA
".","Missing",9125,10477,NA
