"MGXH1T3.Code.or.Value","MGXH1T3.Value.Description","MGXH1T3.Count","MGXH1T3.Cumulative","MGXH1T3.Skip.to.Item"
"5 to 85.8","Range of Values",7159,7159,NA
".","Missing",662,7821,NA
